GASTOS TARJETA,,,,GASTOS TARJETA EXC,,,,TOTAL,"6065,70816999979",,,lun 03/mar 25,,,lun 03/mar 25,,,por semana,82100,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,DIF,DINERO-CALCULO,"0,545323328142331",,,,,,TOTAL,"282,81",,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,gastosTarjetaVisa,,,RESERVA,MONTO,GANADO,TOTAL,,,TRANSFERENCIAS,,,
,,,,,,,,,,FECHA,MONTO,CONCEPTO,,,,,,,,FECHA,MONTO,CONCEPTO
,,,,,,,,,,seis/seis,"17.264,77",tabacoJulio,,,,,,,,sáb 1 de feb de 25,"1.090.000,00",sueldo
,,,,,,,,,,cinco/seis,"22.466,70",zaps,,,,,,,,sáb 1 de feb de 25,"20.000,00",vueltaCarmen
,,,,,,,,,,cinco/nueve,"18.493,92",pasajes,,,,,,,,lun 3 de feb de 25,"49.767,76",pasajePago
,,,,,,,,,,cinco/seis,"15.583,17",auris,,,,,,,,mar 11 de feb de 25,"200.000,00",cry
,,,,,,,,,,cuatro/seis,"9.867,20",camisa,,,,,,,,mié 19 de feb de 25,"100.000,00",cry
,,,,,,,,,,tres/tres,"24.842,33",suple,,dentista,"66.000,00","1314,01","67314,01",,,jue 27 de feb de 25,"200.000,00",cry
,,,,,,,,,,tres/doce,"4.915,75",bermudaAdidas,,autito,,"2428,33",,,,,,
,,,,,,,,,,dos/tres,"11.666,67",correaje,,emergencia,,"3987,12",,,,,,
,,,,,,,,,,dos/seis,"19.830,00",blancoNegro,,semanaCuatro,,"1343,43",,,,,,
,,,,,,,,,,dos/doce,"1.249,92",mouse,,tattoo,,"1492,44",,,,,,
,,,,,,,,,,disney+,"15.299,00",nivel6,,semanaTres,,"825,57",,,,,,
,,,,,,,,,,uno/doce,"5.425,00",shortsRosario,,clu,,"377,82",,,,,,
,,,,,,,,,,,,,,alquiler,,"1333,15",,,,,,
,,,,,,,,,,,,,,semanaDos,,"225,84",,,,,,
,,,,,,,,,,,,,,telefono,,"41,87",,,,,,
,,,,,,,,,,,,,,gym,,"16,61",,,,,,
,"14.915,39",restoMesAnt,,,,,,,,,"175.604,00",restoMesAnt,,total,66000,"13402,8","67314,01",,,,,
TOTAL,"14.915,39",,,,TOTAL,"0,00",,,,TOTAL,"342.508,42",,,,INV,REND,TOTAL,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Resto,saldoMP,"421,75",,,,,,,,,,,,,,,,,,,"500.000,00",binanceMes
,autito,"256299,39",,,,,,,,,,,,,,,,,,,"619.835,00",binanceTotal
,emergencia,"32519,73",,,,,,,,,,,,,,,,,,,,
,binanceTotal,"119.835,00",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"99,79",,,,,,,,,,,,,,,,,,,,,
,,,,,"1.054,27",,,,,,,,,,,,,,,27/02/25,"509,96",usdt
total hoy,"99,9",,,,"105.321,57",,,,,,,,,,,,,,,,1230,blue
04/02/25,"0,01367712","99,88632288",,,"105.307,15",,,,,,,,,,,,,,,,"627250,8",pesos
03/02/25,"0,01367413","99,87264875",,,"105.292,74",,,,,,,,,,,,,,,,,
