TOTAL,"952.544,64",,,,TOTAL,"491.560,69",,,,,,,,mié 27/ago 25,"15.000,00",birras,mié 27/ago 25,"13,19",,TOTAL,"313.313,28",,,
,,,,,,,,,,saldoMercadoPago,"34.539,90",,,jue 28/ago 25,"13.511,05",,jue 28/ago 25,"36,79",casa,Estipulado,250000,,,
,,,,,,,,,,saldoBanco,"894,05",,,vie 29/ago 25,,,vie 29/ago 25,"22,63",-386288,promedioReal,"119614,5",,,
,,,,,,,,,,efectivo,,,,sáb 30/ago 25,,,sáb 30/ago 25,,,promedioCalculado,"135445,82",,,
GASTOS TARJETA,,,,GASTOS TARJETA EXC,,,,TOTAL,"35433,9475166666",,,dom 31/ago 25,,,dom 31/ago 25,,,por semana,82100,,,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,DIF,DINERO-CALCULO,"-200162,404676667",,,,,,TOTAL,"384,02",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,gastosTarjetaVisa,,,RESERVA,MONTO,GANADO,TOTAL,,vencimientos,TRANSFERENCIAS,,,,,
,,,,,,,,,,FECHA,MONTO,CONCEPTO,,autito,"0,00",,0,,,FECHA,MONTO,CONCEPTO,,
,,,,,,,,,,disney+,"18.399,00",nivel6,x,emergencia,"0,00",,0,,,vie 1 de ago de 25,"900.000,00",sueldo,,
,,,,,,,,,,nueve/doce,"4.915,75",bermudaAdidas,x,alquiler,"-5.728,06","2552,74","-3175,32",,,vie 1 de ago de 25,"488.532,10",comision(?),,
,,,,,,,,,,ocho/doce,"1.249,92",mouse,x,dentista,"43.118,49","2137,88","45256,37",,,jue 7 de ago de 25,"47.000,00",restoMes,,
,,,,,,,,,,siete/doce,"5.425,00",shortsRosario,x,semanaCua,"-1.295,78","698,59","-597,19",,,jue 21 de ago de 25,"300.000,00",alquiler,,
,,,,,,,,,,seis/treinta,"9.571,60",monitor,x,semanaTres,"-919,81","698,59","-221,219999999998",,,,,,,
,,,,,,,,,,tres/seis,"9.918,92",boxers,x,ahorro,"-638,18","638,18","6,93489710101858E-12",,,,,,,
,,,,,,,,,,dos/seis,"30.966,67",camAnsilt,x,service,"63.177,57","679,66","63857,23",,,,,,,
,,,,,,,,,,dos/tres,"15.525,12",eternauta,x,carnet,"51.887,26","481,92","52369,18",,,,,,,
,,,,,,,,,,sáb 21 de jun de 25,"70.000,00",entradasPumas,x,transferencia,"41.815,65","388,35",42204,,,,,,,
,,,,,,,,,,uno/seis,"3.066,51",auris,x,gym,"-164,79","102,72","-62,070000000001",,,,,,,
,,,,,,,,,,uno/tres,"14.525,97",varios,x,,,,,,,,,,,
,,,,,,,,,,mié 25 de jun de 25,"14.788,99",arito,x,,,,,,,,,,,
,,,,,,,,,,sáb 28 de jun de 25,"-405,59",guantesWater,x,,,,,,,,,,"643,06",usdt
,,,,,,,,,,lun 30 de jun de 25,"14.899,00",pedidosYa,x,semanaDos,,"442,77",,,,,,,"1.212,69",venta
,,,,,,,,,,mié 2 de jul de 25,"26.069,23",cabiAero,x,autito,,"228,24",,,,,,,,
,,,,,,,,,,jue 3 de jul de 25,"8.095,00",cabiAero,x,sem3,,"452,55",,,,,,,,
,"0,00",varios,,,,,,,,vie 11 de jul de 25,"64.999,00",auris,,total,"191252,35","9954,74","199630,98",,,,,,,
TOTAL,"0,00",,,,TOTAL,"0,00",,,,TOTAL,"312.010,09",,,,INV,REND,TOTAL,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Resto,saldoMP,"11.831,77",,,,,,,,,,,,,,,,,,,,binanceMes,,
,autito,0,,,,,,,,,,,,,,,,,,,"779.835,00",binanceTotal,,
,emergencia,0,,,,,,,,,,,,,,,,,,,,,,
,binanceTotal,"779.835,00",,,,,,,,,,,,,,,,,,1 de agosto,"642,42",usdt,,
,total,"478.657,67",,,,,,,,,,,,,,,,,,,"1.363,60",venta,,
,sueldo,"1.126.701,49",,,,,,,,,,,,,,,,,,,"876.003,91",total,,
,,,,,,,,,,,,,,,,,,,,,"96.168,91",,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10 de agosto,"643,06",usdt,,
,,,,,,,,,,,,,,,,,,,,,"1.332,38",venta,,
,,,,,,,,,,,,,,,,,,,,,"856.800,28",total,,
,,,,,,,,,,,,,,,,,,,,,"76.965,28",,,
